Recognition Number,Name,Legal Name,Acronym,Email,Website,Head Office Address Line 1,Head Office Address Line 2,Head Office Address Town/City,Head Office Address County,Head Office Address Postcode,Head Office Address Country,Head Office Address Telephone Number,Ofqual Status,Ofqual Recognised From,Ofqual Recognised To,CCEA Regulation Status,CCEA Regulation Recognised From,CCEA Regulation Recognised To
"RN6097","NHS England National School of Healthcare Science","NHS England","NHS England NSHCS","nshcsepa@hee.nhs.uk","https://nshcs.hee.nhs.uk/","23 Stephenson Street",,,"Birmingham ","B2 4HQ","United Kingdom","01216952529","Recognised","2022-09-27 00:00:00.0000000",,"Never been recognised",,
"RN5269","British Horseracing Education and Standards Trust","British Horseracing Education and Standards Trust","BHEST","info@bhest.co.uk","www.bhest.co.uk","Suite 16, Unit 8, Kings Court","Willie Snaith Road","Newmarket","Suffolk","CB8 7SG","United Kingdom","01638 560743","Surrendered","2010-04-01 00:00:00.0000000","2015-02-02 00:00:00.0000000","Never been recognised",,
"RN5130","Chartered Quality Institute","The Chartered Quality Institute","CQI","education@quality.org","http://quality.org","2nd Floor North, Chancery Exchange","10 Furnival Street","London",".","EC4A 1AB","United Kingdom","020 7245 6722","Surrendered","2010-04-01 00:00:00.0000000","2021-12-14 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2016-09-19 00:00:00.0000000"
"RN5205","Open University Awarding Body","Open University","OU","cicp-recep@open.ac.uk","open.ac.uk","The Open University","Walton Hall","Milton Keynes","Buckinghamshire","MK7 6AA","United Kingdom","01908 332870","Surrendered","2010-04-01 00:00:00.0000000","2015-04-24 00:00:00.0000000","Never been recognised",,
"RN5247","Chartered Institute for Securities & Investment","Chartered Institute for Securities & Investment","CISI","customersupport@cisi.org","http://www.cisi.org","20 Fenchurch Street",,"London",,"EC3M 3BY","United Kingdom","+44(0)2076450600","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5167","Scottish Qualifications Authority trading as SQA","Scottish Qualifications Authority","SQA","compliance@sqa.org.uk","http://www.sqa.org.uk","The Optima Building","58 Robertson Street","Glasgow",,"G2 8DQ","United Kingdom","0845 279 1000","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2017-02-27 00:00:00.0000000"
"RN5182","Chartered Institute of Building and Chartered Institute of Housing Joint Awarding Body","Chartered Institute of Building and Chartered Institute of Housing Joint Awarding Body","CIOB - CIH","roger.keller@cih.org","www.cih.org","Octavia House ","Westwood Way","Coventry","West Midlands","CV4 8JP","United Kingdom","024 7685 1700","Withdrawn","2010-04-01 00:00:00.0000000","2011-05-16 00:00:00.0000000","Never been recognised",,
"RN6010","Extractives and Mineral Processing Industries Awards","Philip Brain Associates Limited","EMPI Awards","info@empiawards.co.uk","https://www.empiawards.co.uk","Swallows Rest","Pendalog","Llanfyllin","Powys","SY22 5ET","United Kingdom","01691 649078","Recognised","2019-03-01 00:00:00.0000000",,"Never been recognised",,
"RN5133","Pearson Education Ltd","Pearson Education Ltd","Pearson","examsofficers@pearson.com","http://qualifications.pearson.com","80 Strand",,,"London","WC2R 0RL","United Kingdom","0345 618 0440","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2010-04-01 00:00:00.0000000",
"RN5137","GQA Qualifications Limited","GQA Qualifications Limited","GQA","info@gqaqualifications.com","http://www.gqaqualifications.com","Unit 1 Twelve O'clock Court","Attercliffe Road","Sheffield","South Yorkshire","S4 7WW","United Kingdom","0114 2720033","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5241","AQA - City & Guilds","The City and Guilds of London Institute","AQA - City & Guilds","regulation@cityandguilds.com","http://www.diplomainfo.org.uk","1 Giltspur Street",,"London",,"EC1A 9DD","United Kingdom","0207 294 2468","Surrendered","2010-04-01 00:00:00.0000000","2014-09-01 00:00:00.0000000","Never been recognised",,
"RN6054","CILIP Pathways","CILIP Pathways Limited","CILIP Pathways","epa@cilip.org.uk","https://www.cilip.org.uk/page/CILIPPathways","7 Ridgmount St",,,"London","WC1E 7AE","United Kingdom","0207 255 0500","Recognised","2021-12-30 00:00:00.0000000",,"Never been recognised",,
"RN5229","Chartered Institute of Building","The Chartered Institute of Building","CIOB","awardingorg@ciob.org.uk","http://www.ciob.org","3 Arlington Square","Downshire Way","Bracknell","Berkshire","RG12 1WA","United Kingdom","01344 630700","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2020-05-13 00:00:00.0000000",
"RN5228","City College Norwich Qualifications","City College Norwich Qualifications","CCNQ","qualifications@ccn.ac.uk","www.collegequalifications.org.uk","City College Norwich","Ipswich Road","Norwich","Norfolk","NR2 2LJ","United Kingdom","01603 773534","Surrendered","2010-06-16 00:00:00.0000000","2015-12-04 00:00:00.0000000","Never been recognised",,
"RN5153","The Market Research Society","The Market Research Society","MRS","info@mrs.org.uk","www.mrs.org.uk","15 Northburgh Street",,"London",,"EC1V 0JR","United Kingdom","020 7490 4911","Surrendered","2010-04-01 00:00:00.0000000","2013-02-01 00:00:00.0000000","Never been recognised",,
"RN5194","NOCN","NOCN","NOCN","nocn@nocn.org.uk","http://www.nocn.org.uk","Acero Building","1 Concourse Way","Sheaf Street","Sheffield","S1 2BJ","United Kingdom","0300 999 1177","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5190","NEBOSH","National Examination Board in Occupational Safety and Health","NEBOSH","info@nebosh.org.uk","www.nebosh.org.uk","Dominus Way","Meridian Business Park","Leicester","Leics.","LE19 1QW","United Kingdom","01162634700","Surrendered","2010-04-01 00:00:00.0000000","2012-05-31 00:00:00.0000000","Never been recognised",,
"RN5122","Cambridge Assessment International Education","University of Cambridge (The Chancellor, Masters and Scholars of the University of Cambridge","Cambridge International","joe.thornton-beech@cambridge.org","https://www.cambridgeinternational.org/","The Triangle Building","Shaftesbury Road","Cambridge","Cambridgeshire","CB2 8EA","United Kingdom","01223 553554","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-06-01 00:00:00.0000000"
"RN5226","Chartered Institute of Personnel and Development","Chartered Institute of Personnel and Development","CIPD","qa@cipd.co.uk","http://www.cipd.co.uk","CIPD","151 The Broadway",,"London","SW19 1JQ","United Kingdom","020 8612 6200","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5287","Network Rail","Network Rail","Network Rail","claire.lloyd@networkrail.co.uk","www.networkrail.co.uk","Square One","2nd Floor Travis Street ","Manchester","Lancs","M1 2NY","United Kingdom","0161 880 3201","Surrendered","2010-04-01 00:00:00.0000000","2012-07-31 00:00:00.0000000","Never been recognised",,
"RN6107","Fashion and Retail Awards","FASHION AND RETAIL AWARDS LIMITED","FARA","info@fashionandretailawards.com","https://www.fashionandretailawards.com/","15 Gresse Street",,,"London","W1T 1QL","United Kingdom","020 3040 2882","Recognised","2023-01-27 00:00:00.0000000",,"Never been recognised",,
"RN6113","Newcross Healthcare Solutions","Newcross Healthcare Solutions Limited","NXEPA","epa@newcrosshealthcare.com","www.newcrosshealthcare.com","Waterside","Berry Pomeroy","Totnes","Devon","TQ9 6LH","United Kingdom","02382 480125","Recognised","2023-03-22 00:00:00.0000000",,"Never been recognised",,
"RN5338","Gatehouse Awards Ltd","Gatehouse Awards Ltd","GA","info@gatehouseawards.org","http://www.gatehouseawards.org","Unit 5G","Woodhead House","Woodhead Road","Birstall","WF19 9TD","United Kingdom","01924 609250","Recognised","2011-05-12 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-09-28 00:00:00.0000000"
"RN5115","British Ballet Organisation","British Ballet Organisation Limited","BBO","info@bbo.dance","https://bbo.dance","BBO","Unit A Ensign House.Battersea Reach, Juniper Drive","Wandsworth","London","SW18 1TA","United Kingdom","020 8748 1241 ","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2017-10-19 00:00:00.0000000"
"RN5124","Confederation of International Beauty Therapy and Cosmetology","CIBTAC Limited","CIBTAC","lesley.blair@babtac.com","http://www.cibtac.com","Unit 18C Ley Court","Barnwood","Gloucester","Gloucestershire","GL4 3RT","United Kingdom","0044 (0) 1452 623114","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-03-23 00:00:00.0000000"
"RN5163","Royal Horticultural Society","The Royal Horticultural Society","RHS","qualifications@rhs.org.uk","http://www.rhs.org.uk","RHS Garden ","Wisley","Woking ","Surrey ","GU23 6QB","United Kingdom","01483 224234","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6032","SS Educational Services Ltd","SS Educational Services Ltd","SSES","contact@sseducationalservices.co.uk","www.sseducationalservices.co.uk","Castle Hill House","12 Castle Hill",,"Windsor","SL4 1PD","United Kingdom","01753 373 435","Recognised","2021-05-25 00:00:00.0000000",,"Never been recognised",,
"RN5301","National Plant Awards Limited","National Plant Awards Limited","NPAL","","http://www.ofqual.gov.uk/","12 St. Peters Road","Peterborough","","","NW1 0JF","United Kingdom","0131 465 2892","Withdrawn","2010-10-20 00:00:00.0000000","2010-10-21 00:00:00.0000000","Never been recognised",,
"RN5253","Constructing Excellence in Learning Limited","Constructing Excellence in Learning Limited","CELL","CELL@bregroup.com","http://cell.constructingexcellence.org.uk","Constructing Excellence in Learning Limited","c/o BRE, Bucknalls Lane","Watford","Hertfordshire","WD25 9NH","United Kingdom","0845 605 5556","Surrendered","2010-04-01 00:00:00.0000000","2019-03-07 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2018-11-28 00:00:00.0000000"
"RN6126","EPA 4 Health","Cords Education","E4H","michelle@epa4health.com","epa4health.co.uk","17 Moor Park Avenue",,," Preston","PR1 6AS","United Kingdom","07769258972","Recognised","2023-10-12 00:00:00.0000000",,"Never been recognised",,
"RN6004","NICEIC Certification","Certsure LLP","NICEIC","enquiries@certsure.com","http://www.niceic.com/","Warwick House","Houghton Hall Park","Houghton Regis","Dunstable","LU5 5ZX","United Kingdom","03330 156625","Recognised","2018-09-19 00:00:00.0000000",,"Never been recognised",,
"RN6034","FireQual","BAFE FireQual Ltd","FireQual","info@firequal.com","http://firequal.com/","FireQual Ltd, The Fire Service College","London Road",,"Moreton-in-Marsh","GL56 0RH","United Kingdom","01608 656130","Recognised","2023-10-23 00:00:00.0000000",,"Surrendered","2021-02-05 00:00:00.0000000","2023-09-22 00:00:00.0000000"
"RN5281","International Curriculum and Assessment Agency (Examinations)","ICAA (Examinations) Ltd","ICAAE","exams@icaa.com","www.icaa.com","ICAA Education Centre","52 East Street","Alresford","Hampshire","SO24 9EQ","United Kingdom","'01962 737500","Surrendered","2010-04-01 00:00:00.0000000","2015-11-13 00:00:00.0000000","Never been recognised",,
"RN6014","Bespoke Professional Development and Training Ltd","Bespoke Professional Development and Training Ltd","BePro","info@beprodevelopment.co.uk","https://www.beprodevelopment.co.uk/","Office 3, Navigation House","Ellerbeck Way","Stokesley Business Park, Stokesley","North Yorkshire","TS9 5JZ","United Kingdom","01642956970","Surrendered","2019-08-28 00:00:00.0000000","2020-10-16 00:00:00.0000000","Never been recognised",,
"RN6099","Advance Assessments","Advance Assessments Limited","AA","graham.meek@advanceassessments.co.uk","https://www.advanceassessments.co.uk/","1st Floor","5-6 Argyll Street",,"London","W1F 7TE","United Kingdom","07768685969","Recognised","2022-11-25 00:00:00.0000000",,"Never been recognised",,
"RN5326","Laser Learning Awards","Open College Network South East Region Ltd","LASER","v.stewart@laser-awards.org.uk","http://www.laser-awards.org.uk","Cobb House","2-4 Oyster Lane",,"Byfleet","KT14 7DU","United Kingdom","01932 569894","Recognised","2010-12-20 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-07-28 00:00:00.0000000"
"RN5158","Professional Association of Diving Instructors","Professional Association of Diving Instructors","PADI","general@padi.co.uk",,"Unit 7, St Philips Central","Albert Road","Bristol","Avon","BS2 0PD","United Kingdom","0117 300 7234","Surrendered","2010-04-01 00:00:00.0000000","2012-02-29 00:00:00.0000000","Never been recognised",,
"RN5347","National Inter Action Trust Awarding","National Inter Action Trust Awarding","NIAT Awarding","admin@niat.org.uk","www.edcc.org.uk","Studio D, Container City II","Trinity Buoy Wharf, 64 Orchard Road","London",,"E14 0JW","United Kingdom","020 3609 8650","Withdrawn","2011-08-15 00:00:00.0000000","2011-10-31 00:00:00.0000000","Never been recognised",,
"RN5212","University of the Arts London","University of the Arts London","UAL","r.anderson@arts.ac.uk","http://www.arts.ac.uk/awarding","University of the Arts London Awarding Body","272 High Holborn","London","London","WC1V 7EY","United Kingdom","0207 514 9853","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5134","Pearson EDI","Pearson Education Ltd (EDI)","Pearson EDI","examsofficers@pearson.com","http://www.edexcel.com","One90 High Holborn",,"London",,"WC1V 7BH","United Kingdom","0844 463 2535","Surrendered","2010-04-01 00:00:00.0000000","2017-07-01 00:00:00.0000000","Never been recognised",,
"RN6120","The Engineering College","Maritime and Engineering College North West","TEC","k.cairns@theengineeringcollege.co.uk","www.theengineeringcollege.co.uk","Monks Ferry","Birkenhead",,"Wirral","CH41 5LH","United Kingdom","01516666593","Recognised","2023-08-10 00:00:00.0000000",,"Never been recognised",,
"RN6057","LIFT AND ESCALATOR INDUSTRY ASSOCIATION (EPA0269)","LIFT AND ESCALATOR INDUSTRY ASSOCIATION (EPA0269)","L.E.I.A. ","epa@leia.co.uk","www.leia.co.uk","Rotherwick House","3 Thomas More Street","St Katharine's & Wapping","London ","E1W 1YZ","United Kingdom","+447880316842","Recognised","2021-12-30 00:00:00.0000000",,"Never been recognised",,
"RN5136","Future (Awards and Qualifications) Ltd","Future (Awards and Qualifications) Ltd","FAQ","compliance@futurequals.com","http://www.futurequals.com","Future (Awards and Qualifications) Ltd","EMP House, Telford Way","Coalville ","Leicestershire","LE67 3HE","United Kingdom","01530 836662","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5235","English Speaking Board (International) Ltd","English Speaking Board (International) Ltd","ESB","qualityassurance@esbuk.org","http://www.esbuk.org","9 Hattersley Court","Burscough Road","Ormskirk","Lancashire","L39 2AY","United Kingdom","01695 573 439","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5255","Royal Society for Public Health","Royal Society for Public Health","RSPH","info@rsph.org.uk","http://www.rsph.org.uk","John Snow House","59 Mansell Street","London",,"E1 8AN","United Kingdom","020 7265 7300","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5170","University of West London","The University of West London ","UWL","quality@uwl.ac.uk","https://www.uwl.ac.uk/","The University of West London","St Mary's Road","Ealing","London","W5 5RF","United Kingdom","020 8231 2364","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5251","Awarding Body for the Built Environment","Awarding Body for the Built Environment Limited","ABBE","abbeenquiries@bcu.ac.uk","http://www.abbeqa.co.uk","ABBE, Birmingham City University","University House","15 Bartholomew Row","Birmingham","B5 5JU","United Kingdom","0121 331 5174","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-05-17 00:00:00.0000000"
"RN5113","Association of Chartered Certified Accountants","Association of Chartered Certified Accountants","ACCA","info@accaglobal.com","http://www.accaglobal.com","The Adelphi","1 - 11 John Adam Street","London",,"WC2N 6AU","United Kingdom","+44 (0)141 582 2000","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5327","Open College Network Northern Ireland","Open College Network Northern Ireland","OCN NI","info@ocnni.org.uk","http://www.ocnni.org.uk","Sirius House","10 Heron Road, Sydenham Business Park","Belfast","Co. Antrim","BT3 9LE","United Kingdom","028 9046 3990","Recognised","2011-01-20 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5341","Learning Resource Network","Learning Resource Network Limited","LRN","enquiries@lrnglobal.org","http://www.lrnglobal.org","Suite C, 7th Floor","Lambourne House","7 Western Road","Romford","RM1 3LD","United Kingdom","0203 793 3519","Recognised","2011-05-12 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-12-15 00:00:00.0000000"
"RN6039","The Institution of Engineering and Technology","The Institution of Engineering and Technology","The IET","sarahsinclair@theiet.org","https://www.theiet.org/","Futures Place","Kings Way",,"Stevenage","SG1 2UA","United Kingdom","01438 313 311","Recognised","2021-09-15 00:00:00.0000000",,"Never been recognised",,
"RN6073","Progress Minded","JGA Limited","PMA","enquiries@progressminded.co.uk","https://progressminded.co.uk","Innov8 Vocational Training Centre","Clifton Gardens","Uxbridge","Middlesex","UB10 OEZ","United Kingdom","020 3869 0245","Recognised","2022-03-23 00:00:00.0000000",,"Never been recognised",,
"RN5126","Chartered Insurance Institute","Chartered Insurance Institute","CII","customer.serv@cii.co.uk","http://www.cii.co.uk","3rd Floor, ","20 Fenchurch Street,",,"London","EC3M 3BY","United Kingdom","020 8989 8464","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5296","Qualifications and Curriculum Authority","Qualifications and Curriculum Authority","QCA","","http://www.ofqual.gov.uk/","12 St. Peters Road","Peterborough","","","NW1 0JF","United Kingdom","0131 465 2892","Withdrawn","2010-10-20 00:00:00.0000000","2010-10-21 00:00:00.0000000","Never been recognised",,
"RN5155","NCC Education Limited","NCC Education Limited","NCC Education","info@nccedu.com","http://www.nccedu.com","2nd Floor Adamson House, The Towers, Towers Busine","Wilmslow Rd","East Didsbury","Manchester","M20 2YY","United Kingdom","0161 438 6200","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2020-03-19 00:00:00.0000000"
"RN6005","Manpower Services Limited","Manpower Services Limited","MPSUK","damian.whitham@manpowergroup.co.uk","https://www.manpowergroupsolutions.co.uk/","Capital Court","30 Windsor Street","Uxbridge","Middlesex","UB8 1AB","United Kingdom","01895 205200","Surrendered","2018-11-12 00:00:00.0000000","2022-08-18 00:00:00.0000000","Never been recognised",,
"RN6027","Dental Team Qualifications","Dental Team Qualifications Limited","DTQ","rich.cure@denteamqual.com","https://dentalteamqualifications.com","21 Waterloo Place","Warwick Street","Leamington Spa","Warwickshire","CV32 5LA","United Kingdom","01926883476","Recognised","2020-11-26 00:00:00.0000000",,"Never been recognised",,
"RN5345","Open College Network Yorkshire and Humber Region trading as Certa","Open College Network Yorkshire and Humber Region","Certa","info@certa.org.uk","http://www.certa.org.uk","Certa House","Lower Warrengate","Wakefield",,"WF1 1SA","United Kingdom","01924 434600","Surrendered","2011-06-03 00:00:00.0000000","2019-06-20 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2019-07-26 00:00:00.0000000"
"RN6121","FuturU","FuturU Limited","FuturU","claudia.luca@futuru.ai","futuru.ai","5th Floor ","48 Chancery Lane",,"London","WC2A 1FJ","United Kingdom","07512 300052","Recognised","2023-08-17 00:00:00.0000000",,"Never been recognised",,
"RN6059","Chartered Institute of Management Accountants ","Chartered Institute of Management Accountants ","CIMA","tracey.fabiyi@aicpa-cima.com","https://www.cimaglobal.com/","The Helicon  ","One South Place",,"London","EC2M 2RB","United Kingdom","+447961757643","Recognised","2021-12-30 00:00:00.0000000",,"Never been recognised",,
"RN5161","Royal College of Veterinary Surgeons","Royal College of Veterinary Surgeons","RCVS","admin@rcvs.org.uk","www.rcvs.org.uk","Belgravia House","61-64 Horseferry Road","London",,"SW1P 2AF","United Kingdom","02072222001","Surrendered","2010-04-01 00:00:00.0000000","2015-11-20 00:00:00.0000000","Never been recognised",,
"RN5252","Institute of Animal Technology","The Institute of Animal Technology","IAT","chairman@iat.org.uk","http://www.iat.org.uk","5 South Parade","Summertown","Oxford","Oxfordshire","OX2 7JL","United Kingdom","01925 632463","Recognised","2010-04-01 00:00:00.0000000",,"Never been recognised",,
"RN6001","LanguageCert","PeopleCert Qualifications Ltd","LanguageCert","Marios.molfetas@languagecert.org","http://www.languagecert.org","192 Sloane Street",,,"London","SW1X 9QX","United Kingdom","0207 736 2265","Recognised","2017-05-22 00:00:00.0000000",,"Never been recognised",,
"RN6016","The Institute of Commercial Management","The Institute of Commercial Management","ICM","theresa.barlow@icm.education","https://www.icm.education/","ICM House","Yeoman Road","Ringwood","Hampshire","BH24 3FA","United Kingdom","01202490555","Recognised","2019-09-05 00:00:00.0000000",,"Never been recognised",,
"RN5271","Flybe Awards","Flybe Awards","Flybe Awards","andrew.rosser@flybe.com","www.flybe.com","Hangar 21","Jack Walker House","Exeter","Devon","EX5 2HL","United Kingdom","01392 366669","Surrendered","2010-04-01 00:00:00.0000000","2012-05-31 00:00:00.0000000","Never been recognised",,
"RN5362","Royal Society for the Prevention of Accidents","Royal Society for the Prevention of Accidents","RoSPA","enquiries@rospa.com","http://www.rospa.com","RoSPA House","28 Calthorpe Road","Birmingham","West Midlands","B15 1RP","United Kingdom","0121 248 2000","Recognised","2015-11-03 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2017-03-07 00:00:00.0000000"
"RN6109","National Examining Board for Dental Nurses","National Examining Board for Dental Nurses","NEBDN","Kate.Kerslake@nebdn.org","www.nebdn.org","First Floor","Quayside Court","Chain Caul Way","Preston","PR2 2ZP","United Kingdom","01772 429917","Recognised","2023-01-31 00:00:00.0000000",,"Recognised","2023-12-11 00:00:00.0000000",
"RN5274","Institute of Export & International Trade","The Institute of Export & International Trade","IOE","qualifications@export.org.uk","https://www.export.org.uk","Export House","Minerva Business Park","Lynchwood","Peterborough","PE2 6FT","United Kingdom","01733 404400","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2022-07-07 00:00:00.0000000",
"RN5348","The APM Group Limited","APMG Group Limited","APMG-International","Nicola.Kelly@apmgroup.co.uk","wwww.apmg-international.com","Sword House","Totteridge Road","High Wycombe","Buckinghamshire","HP13 6DG","United Kingdom","01494 452450","Surrendered","2011-08-15 00:00:00.0000000","2014-01-29 00:00:00.0000000","Never been recognised",,
"RN6062","Intqual-pro Limited","Intqual-pro Limited","IQP","EPA@intqual-pro.com","www.intqual-pro.com","2 Appley Court",,,"Haynes","MK45 3QQ","United Kingdom","01234 381158","Recognised","2022-01-11 00:00:00.0000000",,"Never been recognised",,
"RN5192","RSL Awards Ltd","RSL Awards Ltd","RSL","info@rslawards.com","https://www.rslawards.com","RSL Awards Ltd","Harlequin House, 7 High Street","Teddington","Middlesex","TW11 8EE","United Kingdom","0845 4604747","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6105","The London Institute of Banking & Finance","LIBF Limited","LIBF","customerservices@libf.ac.uk","www.libf.ac.uk","7th & 8th Floor Peninsular House","Monument Street",,"London","EC3R 8LJ","United Kingdom","01227 818609","Recognised","2023-01-10 00:00:00.0000000",,"Recognised","2023-01-10 00:00:00.0000000",
"RN5206","Institute of Accountants and Bookkeepers","Institute of Accountants and Bookkeepers","IAB","ao@iab.org.uk","http://www.iab.org.uk","110 Bishopsgate ",,,"London","EC2N 1AY","United Kingdom","0208 187 8888 ","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5145","CIOL Qualifications","IoL Educational Trust","CIOLQ","ela.kwasny-spechko@ciol.org.uk","http://www.ciol.org.uk","Thanet House","231 - 232 Strand,",,"London","WC2R 1DA","United Kingdom","02079403100","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5224","YMCA Awards","Central Young Men's Christian Association","YMCA","awards.support@ymca.co.uk","http://www.ymcaawards.co.uk","112 Great Russell Street",,"London",,"WC1B 3NQ","United Kingdom","+44 (0)20 3994 9500","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6098","Marshall Assessment Limited","Marshall Assessment Limited","MA","robgreen@marshall-assessment.com","www.marshall-assessment.com","Alpha Works, ","Alpha Tower ","Suffolk Street Queensway, ","Birmingham","B1 1TT","United Kingdom","0121 516 4283","Recognised","2022-11-23 00:00:00.0000000",,"Never been recognised",,
"RN6011","Fire Risk Management Limited","Fire Risk Management Ltd","FRM","frmtraining@fireriskman.co.uk","http://fireriskman.co.uk/","42 The Spinney","Marlow Hill","High Wycombe","Bucks","HP11 1QE","United Kingdom","01494 532113","Surrendered","2019-05-15 00:00:00.0000000","2023-02-03 00:00:00.0000000","Never been recognised",,
"RN6077","Academy for Project Management LTD","Academy for Project Management LTD","Academy4PM","ceri.hartnell@academy4pm.com","www.academy4pm.com","Academy for Project Management","Churston House","3 Alfred Street","Neath","SA11 1EF","United Kingdom","01639 630001","Recognised","2022-04-25 00:00:00.0000000",,"Never been recognised",,
"RN5128","Chartered Management Institute","Chartered Management Institute","CMI","Ann.Francke@managers.org.uk","http://www.managers.org.uk","77 Kingsway",,"London",,"WC2B 6SR","United Kingdom","020 7421 2724","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6003","Music Teachers' Board","MTB Exams Limited","MTB Exams","enquiries@mtbexams.com","https://www.mtbexams.com","Gable House","18-24 Turnham Green Terrace","Chiswick","London","W4 1QP","United Kingdom","0118 9680910","Recognised","2018-08-09 00:00:00.0000000",,"Never been recognised",,
"RN6095","RTITB","RTITB Limited","RTITB","epa@ritib.com","rtitb.com","Access House","Halesfield 17",,"Telford","TF7 4PW","United Kingdom","01952520200","Recognised","2022-08-09 00:00:00.0000000",,"Never been recognised",,
"RN5120","British Wheel of Yoga Qualifications","The British Wheel of Yoga Qualifications","BWYQ","bwyqcoordinator@gmail.com","http://www.bwyq.org.uk","25 Jermyn Street","Sleaford",,"Lincolnshire","NG34 7RU","United Kingdom","020 8390 9365","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-07-19 00:00:00.0000000"
"XX1307","ASET","ASET","ASET","","http://www.ofqual.gov.uk/",,,,,,,,"Withdrawn","2010-10-28 00:00:00.0000000","2010-10-28 00:00:00.0000000","Never been recognised",,
"RN6102","Institute of Conservation","Institute of Conservation","Icon","pwhife@icon.org.uk","www.icon.org.uk","106-109 Saffron Hill",,,"London","EC1N 8QS","United Kingdom","02031426799 ","Recognised","2022-12-06 00:00:00.0000000",,"Never been recognised",,
"RN5353","Focus Awards Limited","Focus Awards Limited","Focus Awards","info@focusawards.org.uk","http://www.focusawards.org.uk","Silicon House","Farfield Park","Manvers Rotherham","South Yorkshire","S63 5DB","United Kingdom","0333 3447 388","Recognised","2013-04-09 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6012","Institute of Sales Professionals","The Professional Sales Leadership Alliance Ltd","ISP","eqa@the-isp.org","https://www.the-isp.org/","Institute of Sales Professionals","960 Capability Green","Luton","Bedfordshire","LU1 3PE","United Kingdom","02036374940","Recognised","2019-06-19 00:00:00.0000000",,"Never been recognised",,
"RN6048","Professional Assessment Ltd","Professional Assessment Ltd","PAL","info@professionalassessment.co.uk","https://professionalassessment.co.uk","Connect House","Kingston Road",,"Leatherhead","KT22 7LT","United Kingdom","0800 1601899","Recognised","2021-10-28 00:00:00.0000000",,"Never been recognised",,
